160,120,57,89
160,120,57,89
160,120,57,89
160,120,57,89
160,120,57,89
160,120,57,89
160,120,137,113
160,120,137,121
160,120,169,129
160,120,169,129
160,120,185,137
160,120,177,129
160,120,153,129
160,120,113,121
2021-07-15 18:46:40.272110,160,120,57,121
2021-07-15 18:46:40.498797,160,120,57,129
2021-07-15 18:46:40.728150,160,120,57,129
2021-07-15 18:46:40.958948,160,120,57,129
2021-07-15 18:46:41.231773,160,120,57,129
2021-07-15 18:46:41.452769,160,120,57,129
2021-07-15 18:46:42.826663,160,120,129,137
2021-07-15 18:46:43.266239,160,120,129,121
2021-07-15 18:46:43.486729,160,120,137,121
2021-07-15 18:46:43.707943,160,120,97,113
2021-07-15 18:46:43.927944,160,120,89,105
2021-07-15 18:46:44.158868,160,120,89,105
2021-07-15 18:46:44.378791,160,120,81,105
2021-07-15 18:46:44.604546,160,120,81,105
2021-07-15 18:46:45.044924,160,120,81,105
2021-07-15 18:46:45.513886,160,120,57,105
2021-07-15 18:46:45.751103,160,120,105,113
2021-07-15 18:46:46.005771,160,120,105,113
2021-07-15 18:46:46.254503,160,120,105,113
2021-07-15 18:46:46.497203,160,120,105,113
2021-07-15 18:46:46.737259,160,120,137,113
2021-07-15 18:46:46.987191,160,120,137,113
2021-07-15 18:46:47.245542,160,120,137,113
2021-07-15 18:46:47.501233,160,120,137,113
2021-07-15 18:46:47.747280,160,120,153,113
2021-07-15 18:46:47.997553,160,120,153,113
2021-07-15 18:46:48.249680,160,120,153,113
2021-07-15 18:46:48.509668,160,120,153,121
2021-07-15 18:46:48.754320,160,120,153,121
2021-07-15 18:46:49.000330,160,120,153,121
2021-07-15 18:46:49.246080,160,120,153,121
2021-07-15 18:46:49.500656,160,120,153,121
2021-07-15 18:46:49.771065,160,120,153,121
2021-07-15 18:46:50.023008,160,120,161,121
2021-07-15 18:46:50.296647,160,120,169,113
2021-07-15 18:46:50.547068,160,120,169,105
2021-07-15 18:46:50.793802,160,120,177,97
2021-07-15 18:46:51.032595,160,120,177,89
2021-07-15 18:46:51.258214,160,120,177,89
2021-07-15 18:46:51.484221,160,120,177,89
2021-07-15 18:46:51.706426,160,120,185,89
2021-07-15 18:46:51.926857,160,120,193,89
2021-07-15 18:46:52.167684,160,120,193,89
2021-07-15 18:46:54.407734,160,120,193,129
2021-07-15 18:46:54.628737,160,120,185,129
2021-07-15 18:46:54.862279,160,120,185,137
2021-07-15 18:46:55.087910,160,120,185,129
2021-07-15 18:46:55.313563,160,120,185,129
2021-07-15 18:46:55.537570,160,120,185,129
2021-07-15 18:46:55.770141,160,120,185,129
2021-07-15 18:46:56.011208,160,120,185,129
2021-07-15 18:46:56.233879,160,120,185,129
2021-07-15 18:46:56.455891,160,120,185,129
2021-07-15 18:46:56.678458,160,120,177,129
2021-07-15 18:46:56.901889,160,120,177,129
2021-07-15 18:46:57.127651,160,120,177,129
2021-07-15 18:46:57.354167,160,120,177,129
2021-07-15 18:46:57.579025,160,120,169,121
2021-07-15 18:46:57.803526,160,120,169,121
2021-07-15 18:46:58.026146,160,120,169,121
2021-07-15 18:46:58.320631,160,120,169,121
2021-07-15 18:46:58.581999,160,120,169,121
2021-07-15 18:46:58.809754,160,120,161,121
2021-07-15 18:46:59.029322,160,120,161,121
2021-07-15 18:46:59.275329,160,120,161,121
2021-07-15 18:46:59.509418,160,120,161,113
2021-07-15 18:46:59.784661,160,120,161,113
2021-07-15 18:47:00.032716,160,120,161,113
2021-07-15 18:47:00.274347,160,120,153,113
2021-07-15 18:47:00.510905,160,120,153,113
2021-07-15 18:47:00.739874,160,120,153,113
2021-07-15 18:47:00.968118,160,120,153,113
2021-07-16 12:46:13.267362,160,120,78,117
2021-07-16 12:46:13.780923,160,120,69,97
2021-07-16 12:46:16.687717,160,120,78,97
2021-07-16 12:46:17.411683,160,120,88,97
2021-07-16 12:46:17.660782,160,120,88,97
2021-07-16 12:46:19.271440,160,120,78,97
2021-07-16 12:46:19.519028,160,120,78,97
2021-07-16 12:46:19.745024,160,120,78,97
2021-07-16 12:46:20.433202,160,120,78,97
2021-07-16 12:46:21.149327,160,120,78,97
2021-07-16 12:46:21.377873,160,120,78,97
